stop_id,stop_code,stop_name,stop_lat,stop_lon
2988,29328,"LITEWSKA (pętla)",51.1422889200,17.1275839200
2989,23314,"ŚLAZOWA (pętla)",51.1525993200,16.9960965700
3001,120817,"Kliniki",51.1093224100,17.0660967800
3002,120818,"Kliniki",51.1093224100,17.0662813900
3006,18016,"Kosmonautów (Szpital)",51.1420580500,16.9094190400
3007,18015,"Kosmonautów (Szpital)",51.1421585000,16.9089713100
3008,18114,"Kosmonautów (Szpital)",51.1421620900,16.9095420600
3010,18113,"Kosmonautów (Szpital)",51.1424042500,16.9078140700
3013,20904,"Świętokrzyska",51.1172973300,17.0441863200
3014,11546,"Gajowicka (Gimnazjum nr 23)",51.0846041800,17.0038120300
3015,23518,"Rzemieślnicza",51.1708793000,17.0037794600
3016,23517,"Rzemieślnicza",51.1714458000,17.0047036000
3017,326169,"Stępin",51.2084720900,17.2807230300
3018,326171,"STĘPIN - pętla",51.2135079500,17.2854929900
3019,25121,"Sosnowiecka",51.0704598600,17.0915432900
3020,25122,"Sosnowiecka",51.0709008200,17.0912699400
3021,326170,"Stępin",51.2087957100,17.2807099000
3022,10367,"Swobodna",51.1001675300,17.0239170000
3023,10368,"Swobodna",51.0996001800,17.0223124300
3024,326140,"Pietrzykowice",51.1225468500,17.2331114500
3025,326139,"Pietrzykowice",51.1225763200,17.2326428400
3026,326138,"Śliwice",51.1290845400,17.2130004800
3027,326137,"Śliwice",51.1290974500,17.2126332800
3030,326196,"Siedlec-skrzyżowanie",51.2317101300,17.1167832700
3031,326195,"Siedlec-skrzyżowanie",51.2317149500,17.1175636000
3032,326194,"Siedlec-szkoła",51.2299647400,17.1141617200
3033,326193,"Siedlec-szkoła",51.2299830800,17.1145828700
3034,326189,"Pasikurowice-Energetyczna",51.2138301200,17.1097914900
3035,326188,"Pasikurowice-Energetyczna",51.2141165100,17.1097413100
3036,326191,"Pasikurowice - n/ż",51.2151682600,17.1148350200
3037,326190,"Pasikurowice - n/ż",51.2154276800,17.1150698100
3038,326187,"Pasikurowice-Malinowa",51.2094418500,17.1037181800
3039,326186,"Pasikurowice-Malinowa",51.2095920700,17.1037196200
3040,326185,"Pasikurowice-cmentarz",51.2063876900,17.1012622100
3041,326184,"Pasikurowice-cmentarz",51.2068380700,17.1009051300
3042,326183,"Ramiszów-kolonia",51.1778954300,17.0981892200
3043,326182,"Ramiszów-kolonia",51.1779430500,17.0980251400
3044,29552,"Przebiśniegowa",51.1725207300,17.1133433600
3045,29553,"Przebiśniegowa",51.1729953000,17.1135440100
3053,17315,"Trawowa",51.0970587400,16.9505113100
3054,17316,"Trawowa",51.0972703700,16.9493911900
3056,18391,"Rubczaka",51.1441942900,16.8659648400
3057,18392,"Rubczaka",51.1440717400,16.8661112600
3058,329120,"Pruszowice - wieś",51.1875043500,17.1342585900
3060,326215,"Tokary",51.2330876500,17.1400505800
3061,326216,"Tokary",51.2330492200,17.1398667700
3064,326203,"Zaprężyn",51.2511504200,17.1917882000
